"BY RELIGION, SEX AND RURAL/URBAN",,,,,,,,,,,,


Id,Division,District,Tehsil,Area,Sex,Total,Muslim,Christian,HinduJati,QadianiAhmadi,Scheduled_Castes,Others
46,BAHAWALPUR,BAHAWALNAGAR,MINCHINABAD TEHSIL,TOTAL,BOTH SEXES,354261,352471,1354,201,209,5,21
47,BAHAWALPUR,BAHAWALNAGAR,MINCHINABAD TEHSIL,TOTAL,MALE,184776,183831,731,100,106,1,7
48,BAHAWALPUR,BAHAWALNAGAR,MINCHINABAD TEHSIL,TOTAL,FEMALE,169485,168640,623,101,103,4,14
49,BAHAWALPUR,BAHAWALNAGAR,MINCHINABAD TEHSIL,RURAL,BOTH SEXES,316593,315137,1255,11,164,5,21
50,BAHAWALPUR,BAHAWALNAGAR,MINCHINABAD TEHSIL,RURAL,MALE,165189,164412,685,5,79,1,7
51,BAHAWALPUR,BAHAWALNAGAR,MINCHINABAD TEHSIL,RURAL,FEMALE,151404,150725,570,6,85,4,14
52,BAHAWALPUR,BAHAWALNAGAR,MINCHINABAD TEHSIL,URBAN,BOTH SEXES,37668,37334,99,190,45,-,-
53,BAHAWALPUR,BAHAWALNAGAR,MINCHINABAD TEHSIL,URBAN,MALE,19587,19419,46,95,27,-,-
54,BAHAWALPUR,BAHAWALNAGAR,MINCHINABAD TEHSIL,URBAN,FEMALE,18081,17915,53,95,18,-,-
55,BAHAWALPUR,BAHAWALPUR,BAHAWALPUR DISTRICT,TOTAL,BOTH SEXES,2433091,2386400,14385,21730,2927,876,6773
56,BAHAWALPUR,BAHAWALPUR,BAHAWALPUR DISTRICT,TOTAL,MALE,1278775,1254362,7546,11372,1539,447,3509
57,BAHAWALPUR,BAHAWALPUR,BAHAWALPUR DISTRICT,TOTAL,FEMALE,1154316,1132038,6839,10358,1388,429,3264
58,BAHAWALPUR,BAHAWALPUR,BAHAWALPUR DISTRICT,RURAL,BOTH SEXES,1767787,1734477,5209,19611,2023,593,5874
59,BAHAWALPUR,BAHAWALPUR,BAHAWALPUR DISTRICT,RURAL,MALE,922528,905136,2693,10259,1084,308,3048
60,BAHAWALPUR,BAHAWALPUR,BAHAWALPUR DISTRICT,RURAL,FEMALE,845259,829341,2516,9352,939,285,2826
61,BAHAWALPUR,BAHAWALPUR,BAHAWALPUR DISTRICT,URBAN,BOTH SEXES,665304,651923,9176,2119,904,283,899
62,BAHAWALPUR,BAHAWALPUR,BAHAWALPUR DISTRICT,URBAN,MALE,356247,349226,4853,1113,455,139,461
63,BAHAWALPUR,BAHAWALPUR,BAHAWALPUR DISTRICT,URBAN,FEMALE,309057,302697,4323,1006,449,144,438
64,BAHAWALPUR,BAHAWALPUR,AHMADPUR EAST TEHSIL,TOTAL,BOTH SEXES,718297,711143,215,3287,643,230,2779
65,BAHAWALPUR,BAHAWALPUR,AHMADPUR EAST TEHSIL,TOTAL,MALE,375917,372160,119,1740,336,116,1446
66,BAHAWALPUR,BAHAWALPUR,AHMADPUR EAST TEHSIL,TOTAL,FEMALE,342380,338983,96,1547,307,114,1333
67,BAHAWALPUR,BAHAWALPUR,AHMADPUR EAST TEHSIL,RURAL,BOTH SEXES,601406,596397,41,2061,444,25,2438
68,BAHAWALPUR,BAHAWALPUR,AHMADPUR EAST TEHSIL,RURAL,MALE,314548,311905,22,1086,246,14,1275
69,BAHAWALPUR,BAHAWALPUR,AHMADPUR EAST TEHSIL,RURAL,FEMALE,286858,284492,19,975,198,11,1163
70,BAHAWALPUR,BAHAWALPUR,AHMADPUR EAST TEHSIL,URBAN,BOTH SEXES,116891,114746,174,1226,199,205,341
71,BAHAWALPUR,BAHAWALPUR,AHMADPUR EAST TEHSIL,URBAN,MALE,61369,60255,97,654,90,102,171
72,BAHAWALPUR,BAHAWALPUR,AHMADPUR EAST TEHSIL,URBAN,FEMALE,55522,54491,77,572,109,103,170
73,BAHAWALPUR,BAHAWALPUR,BAHAWALPUR TEHSIL,TOTAL,BOTH SEXES,806580,793738,8550,2246,690,188,1168
