"BY RELIGION, SEX AND RURAL/URBAN",,,,,,,,,,,,


Id,Division,District,Tehsil,Area,Sex,Total,Muslim,Christian,HinduJati,QadianiAhmadi,Scheduled_Castes,Others
194,DERA GHAZI KHAN,LAYYAH,LAYYAH DISTRICT,URBAN,MALE,74578,73553,821,10,112,7,75
195,DERA GHAZI KHAN,LAYYAH,LAYYAH DISTRICT,URBAN,FEMALE,69625,68677,764,15,102,3,64
196,DERA GHAZI KHAN,LAYYAH,CHOUBARA TEHSIL,TOTAL,BOTH SEXES,161010,159455,691,28,482,41,313
197,DERA GHAZI KHAN,LAYYAH,CHOUBARA TEHSIL,TOTAL,MALE,83664,82865,361,16,243,16,163
198,DERA GHAZI KHAN,LAYYAH,CHOUBARA TEHSIL,TOTAL,FEMALE,77346,76590,330,12,239,25,150
199,DERA GHAZI KHAN,LAYYAH,CHOUBARA TEHSIL,RURAL,BOTH SEXES,161010,159455,691,28,482,41,313
200,DERA GHAZI KHAN,LAYYAH,CHOUBARA TEHSIL,RURAL,MALE,83664,82865,361,16,243,16,163
201,DERA GHAZI KHAN,LAYYAH,CHOUBARA TEHSIL,RURAL,FEMALE,77346,76590,330,12,239,25,150
202,DERA GHAZI KHAN,LAYYAH,KAROR LAL ESAN TEHSIL,TOTAL,BOTH SEXES,368899,360802,6915,13,633,24,512
203,DERA GHAZI KHAN,LAYYAH,KAROR LAL ESAN TEHSIL,TOTAL,MALE,189183,185086,3510,5,302,14,266
204,DERA GHAZI KHAN,LAYYAH,KAROR LAL ESAN TEHSIL,TOTAL,FEMALE,179716,175716,3405,8,331,10,246
205,DERA GHAZI KHAN,LAYYAH,KAROR LAL ESAN TEHSIL,RURAL,BOTH SEXES,330556,323036,6420,9,589,17,485
206,DERA GHAZI KHAN,LAYYAH,KAROR LAL ESAN TEHSIL,RURAL,MALE,169260,165460,3253,3,282,9,253
207,DERA GHAZI KHAN,LAYYAH,KAROR LAL ESAN TEHSIL,RURAL,FEMALE,161296,157576,3167,6,307,8,232
208,DERA GHAZI KHAN,LAYYAH,KAROR LAL ESAN TEHSIL,URBAN,BOTH SEXES,38343,37766,495,4,44,7,27
209,DERA GHAZI KHAN,LAYYAH,KAROR LAL ESAN TEHSIL,URBAN,MALE,19923,19626,257,2,20,5,13
210,DERA GHAZI KHAN,LAYYAH,KAROR LAL ESAN TEHSIL,URBAN,FEMALE,18420,18140,238,2,24,2,14
211,DERA GHAZI KHAN,LAYYAH,LAYYAH TEHSIL,TOTAL,BOTH SEXES,591042,586467,2056,676,893,28,922
212,DERA GHAZI KHAN,LAYYAH,LAYYAH TEHSIL,TOTAL,MALE,306162,303817,1045,334,472,15,479
213,DERA GHAZI KHAN,LAYYAH,LAYYAH TEHSIL,TOTAL,FEMALE,284880,282650,1011,342,421,13,443
214,DERA GHAZI KHAN,LAYYAH,LAYYAH TEHSIL,RURAL,BOTH SEXES,485182,482003,966,655,723,25,810
215,DERA GHAZI KHAN,LAYYAH,LAYYAH TEHSIL,RURAL,MALE,251507,249890,481,326,380,13,417
216,DERA GHAZI KHAN,LAYYAH,LAYYAH TEHSIL,RURAL,FEMALE,233675,232113,485,329,343,12,393
217,DERA GHAZI KHAN,LAYYAH,LAYYAH TEHSIL,URBAN,BOTH SEXES,105860,104464,1090,21,170,3,112
218,DERA GHAZI KHAN,LAYYAH,LAYYAH TEHSIL,URBAN,MALE,54655,53927,564,8,92,2,62
219,DERA GHAZI KHAN,LAYYAH,LAYYAH TEHSIL,URBAN,FEMALE,51205,50537,526,13,78,1,50
220,DERA GHAZI KHAN,MUZAFFARGARH,MUZAFFARGARH DISTRICT,TOTAL,BOTH SEXES,2635903,2618815,7209,679,2432,436,6332
221,DERA GHAZI KHAN,MUZAFFARGARH,MUZAFFARGARH DISTRICT,TOTAL,MALE,1373036,1364399,3742,331,1198,192,3174
222,DERA GHAZI KHAN,MUZAFFARGARH,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,1262867,1254416,3467,348,1234,244,3158
223,DERA GHAZI KHAN,MUZAFFARGARH,MUZAFFARGARH DISTRICT,RURAL,BOTH SEXES,2294558,2280193,5524,662,1891,421,5867
224,DERA GHAZI KHAN,MUZAFFARGARH,MUZAFFARGARH DISTRICT,RURAL,MALE,1193044,1185821,2848,321,927,183,2944
225,DERA GHAZI KHAN,MUZAFFARGARH,MUZAFFARGARH DISTRICT,RURAL,FEMALE,1101514,1094372,2676,341,964,238,2923
226,DERA GHAZI KHAN,MUZAFFARGARH,MUZAFFARGARH DISTRICT,URBAN,BOTH SEXES,341345,338622,1685,17,541,15,465
227,DERA GHAZI KHAN,MUZAFFARGARH,MUZAFFARGARH DISTRICT,URBAN,MALE,179992,178578,894,10,271,9,230
228,DERA GHAZI KHAN,MUZAFFARGARH,MUZAFFARGARH DISTRICT,URBAN,FEMALE,161353,160044,791,7,270,6,235
229,DERA GHAZI KHAN,MUZAFFARGARH,ALIPUR TEHSIL,TOTAL,BOTH SEXES,398053,396200,77,87,470,62,1157
230,DERA GHAZI KHAN,MUZAFFARGARH,ALIPUR TEHSIL,TOTAL,MALE,208708,207780,45,49,224,33,577
231,DERA GHAZI KHAN,MUZAFFARGARH,ALIPUR TEHSIL,TOTAL,FEMALE,189345,188420,32,38,246,29,580
232,DERA GHAZI KHAN,MUZAFFARGARH,ALIPUR TEHSIL,RURAL,BOTH SEXES,369452,367895,36,87,232,60,1142
233,DERA GHAZI KHAN,MUZAFFARGARH,ALIPUR TEHSIL,RURAL,MALE,193856,193073,23,49,110,32,569
234,DERA GHAZI KHAN,MUZAFFARGARH,ALIPUR TEHSIL,RURAL,FEMALE,175596,174822,13,38,122,28,573
235,DERA GHAZI KHAN,MUZAFFARGARH,ALIPUR TEHSIL,URBAN,BOTH SEXES,28601,28305,41,-,238,2,15
236,DERA GHAZI KHAN,MUZAFFARGARH,ALIPUR TEHSIL,URBAN,MALE,14852,14707,22,-,114,1,8
237,DERA GHAZI KHAN,MUZAFFARGARH,ALIPUR TEHSIL,URBAN,FEMALE,13749,13598,19,-,124,1,7
238,DERA GHAZI KHAN,MUZAFFARGARH,JATOI TEHSIL,TOTAL,BOTH SEXES,446546,444210,92,100,628,203,1313
239,DERA GHAZI KHAN,MUZAFFARGARH,JATOI TEHSIL,TOTAL,MALE,231386,230296,46,40,291,82,631
240,DERA GHAZI KHAN,MUZAFFARGARH,JATOI TEHSIL,TOTAL,FEMALE,215160,213914,46,60,337,121,682
241,DERA GHAZI KHAN,MUZAFFARGARH,JATOI TEHSIL,RURAL,BOTH SEXES,393772,391528,81,96,595,201,1271
242,DERA GHAZI KHAN,MUZAFFARGARH,JATOI TEHSIL,RURAL,MALE,204112,203066,38,38,276,81,613
243,DERA GHAZI KHAN,MUZAFFARGARH,JATOI TEHSIL,RURAL,FEMALE,189660,188462,43,58,319,120,658
244,DERA GHAZI KHAN,MUZAFFARGARH,JATOI TEHSIL,URBAN,BOTH SEXES,52774,52682,11,4,33,2,42
245,DERA GHAZI KHAN,MUZAFFARGARH,JATOI TEHSIL,URBAN,MALE,27274,27230,8,2,15,1,18
246,DERA GHAZI KHAN,MUZAFFARGARH,JATOI TEHSIL,URBAN,FEMALE,25500,25452,3,2,18,1,24
247,DERA GHAZI KHAN,MUZAFFARGARH,KOT ADDU TEHSIL,TOTAL,BOTH SEXES,808438,800726,4803,467,757,144,1541
248,DERA GHAZI KHAN,MUZAFFARGARH,KOT ADDU TEHSIL,TOTAL,MALE,419449,415489,2518,234,363,68,777
249,DERA GHAZI KHAN,MUZAFFARGARH,KOT ADDU TEHSIL,TOTAL,FEMALE,388989,385237,2285,233,394,76,764
250,DERA GHAZI KHAN,MUZAFFARGARH,KOT ADDU TEHSIL,RURAL,BOTH SEXES,688771,682484,3734,455,601,138,1359
251,DERA GHAZI KHAN,MUZAFFARGARH,KOT ADDU TEHSIL,RURAL,MALE,356835,353621,1953,226,285,64,686
252,DERA GHAZI KHAN,MUZAFFARGARH,KOT ADDU TEHSIL,RURAL,FEMALE,331936,328863,1781,229,316,74,673
253,DERA GHAZI KHAN,MUZAFFARGARH,KOT ADDU TEHSIL,URBAN,BOTH SEXES,119667,118242,1069,12,156,6,182
254,DERA GHAZI KHAN,MUZAFFARGARH,KOT ADDU TEHSIL,URBAN,MALE,62614,61868,565,8,78,4,91
255,DERA GHAZI KHAN,MUZAFFARGARH,KOT ADDU TEHSIL,URBAN,FEMALE,57053,56374,504,4,78,2,91
256,DERA GHAZI KHAN,MUZAFFARGARH,MUZAFFARGARH TEHSIL,TOTAL,BOTH SEXES,982866,977679,2237,25,577,27,2321
257,DERA GHAZI KHAN,MUZAFFARGARH,MUZAFFARGARH TEHSIL,TOTAL,MALE,513493,510834,1133,8,320,9,1189
258,DERA GHAZI KHAN,MUZAFFARGARH,MUZAFFARGARH TEHSIL,TOTAL,FEMALE,469373,466845,1104,17,257,18,1132
259,DERA GHAZI KHAN,MUZAFFARGARH,MUZAFFARGARH TEHSIL,RURAL,BOTH SEXES,842563,838286,1673,24,463,22,2095
260,DERA GHAZI KHAN,MUZAFFARGARH,MUZAFFARGARH TEHSIL,RURAL,MALE,438241,436061,834,8,256,6,1076
261,DERA GHAZI KHAN,MUZAFFARGARH,MUZAFFARGARH TEHSIL,RURAL,FEMALE,404322,402225,839,16,207,16,1019
262,DERA GHAZI KHAN,MUZAFFARGARH,MUZAFFARGARH TEHSIL,URBAN,BOTH SEXES,140303,139393,564,1,114,5,226
263,DERA GHAZI KHAN,MUZAFFARGARH,MUZAFFARGARH TEHSIL,URBAN,MALE,75252,74773,299,-,64,3,113
264,DERA GHAZI KHAN,MUZAFFARGARH,MUZAFFARGARH TEHSIL,URBAN,FEMALE,65051,64620,265,1,50,2,113
265,DERA GHAZI KHAN,RAJANPUR,RAJANPUR DISTRICT,TOTAL,BOTH SEXES,1103618,1100527,104,248,613,278,1848
266,DERA GHAZI KHAN,RAJANPUR,RAJANPUR DISTRICT,TOTAL,MALE,580822,579201,48,130,311,158,974
267,DERA GHAZI KHAN,RAJANPUR,RAJANPUR DISTRICT,TOTAL,FEMALE,522796,521326,56,118,302,120,874
268,DERA GHAZI KHAN,RAJANPUR,RAJANPUR DISTRICT,RURAL,BOTH SEXES,943463,940880,62,247,392,260,1622
269,DERA GHAZI KHAN,RAJANPUR,RAJANPUR DISTRICT,RURAL,MALE,497795,496441,28,130,191,146,859
270,DERA GHAZI KHAN,RAJANPUR,RAJANPUR DISTRICT,RURAL,FEMALE,445668,444439,34,117,201,114,763
271,DERA GHAZI KHAN,RAJANPUR,RAJANPUR DISTRICT,URBAN,BOTH SEXES,160155,159647,42,1,221,18,226
272,DERA GHAZI KHAN,RAJANPUR,RAJANPUR DISTRICT,URBAN,MALE,83027,82760,20,-,120,12,115
273,DERA GHAZI KHAN,RAJANPUR,RAJANPUR DISTRICT,URBAN,FEMALE,77128,76887,22,1,101,6,111
274,DERA GHAZI KHAN,RAJANPUR,DE-EXCLUDED AREA RAJANPUR,TOTAL,BOTH SEXES,14051,14037,-,-,1,13,-
275,DERA GHAZI KHAN,RAJANPUR,DE-EXCLUDED AREA RAJANPUR,TOTAL,MALE,8067,8060,-,-,1,6,-
276,DERA GHAZI KHAN,RAJANPUR,DE-EXCLUDED AREA RAJANPUR,TOTAL,FEMALE,5984,5977,-,-,-,7,-
277,DERA GHAZI KHAN,RAJANPUR,DE-EXCLUDED AREA RAJANPUR,RURAL,BOTH SEXES,14051,14037,-,-,1,13,-
278,DERA GHAZI KHAN,RAJANPUR,DE-EXCLUDED AREA RAJANPUR,RURAL,MALE,8067,8060,-,-,1,6,-
279,DERA GHAZI KHAN,RAJANPUR,DE-EXCLUDED AREA RAJANPUR,RURAL,FEMALE,5984,5977,-,-,-,7,-
280,DERA GHAZI KHAN,RAJANPUR,JAMPUR TEHSIL,TOTAL,BOTH SEXES,485051,483720,32,4,211,40,1044
281,DERA GHAZI KHAN,RAJANPUR,JAMPUR TEHSIL,TOTAL,MALE,253675,253007,12,1,107,22,526
282,DERA GHAZI KHAN,RAJANPUR,JAMPUR TEHSIL,TOTAL,FEMALE,231376,230713,20,3,104,18,518
283,DERA GHAZI KHAN,RAJANPUR,JAMPUR TEHSIL,RURAL,BOTH SEXES,417338,416218,22,4,131,40,923
284,DERA GHAZI KHAN,RAJANPUR,JAMPUR TEHSIL,RURAL,MALE,218762,218200,9,1,62,22,468
285,DERA GHAZI KHAN,RAJANPUR,JAMPUR TEHSIL,RURAL,FEMALE,198576,198018,13,3,69,18,455
286,DERA GHAZI KHAN,RAJANPUR,JAMPUR TEHSIL,URBAN,BOTH SEXES,67713,67502,10,-,80,-,121
287,DERA GHAZI KHAN,RAJANPUR,JAMPUR TEHSIL,URBAN,MALE,34913,34807,3,-,45,-,58
288,DERA GHAZI KHAN,RAJANPUR,JAMPUR TEHSIL,URBAN,FEMALE,32800,32695,7,-,35,-,63
289,DERA GHAZI KHAN,RAJANPUR,RAJANPUR TEHSIL,TOTAL,BOTH SEXES,395953,394935,60,5,324,8,621
290,DERA GHAZI KHAN,RAJANPUR,RAJANPUR TEHSIL,TOTAL,MALE,207863,207318,31,1,165,6,342
291,DERA GHAZI KHAN,RAJANPUR,RAJANPUR TEHSIL,TOTAL,FEMALE,188090,187617,29,4,159,2,279
292,DERA GHAZI KHAN,RAJANPUR,RAJANPUR TEHSIL,RURAL,BOTH SEXES,314641,313874,28,5,188,7,539
293,DERA GHAZI KHAN,RAJANPUR,RAJANPUR TEHSIL,RURAL,MALE,165625,165215,14,1,92,5,298
294,DERA GHAZI KHAN,RAJANPUR,RAJANPUR TEHSIL,RURAL,FEMALE,149016,148659,14,4,96,2,241
295,DERA GHAZI KHAN,RAJANPUR,RAJANPUR TEHSIL,URBAN,BOTH SEXES,81312,81061,32,-,136,1,82
296,DERA GHAZI KHAN,RAJANPUR,RAJANPUR TEHSIL,URBAN,MALE,42238,42103,17,-,73,1,44
297,DERA GHAZI KHAN,RAJANPUR,RAJANPUR TEHSIL,URBAN,FEMALE,39074,38958,15,-,63,-,38
298,DERA GHAZI KHAN,RAJANPUR,ROJHAN TEHSIL,TOTAL,BOTH SEXES,208563,207835,12,239,77,217,183
299,DERA GHAZI KHAN,RAJANPUR,ROJHAN TEHSIL,TOTAL,MALE,111217,110816,5,128,38,124,106
300,DERA GHAZI KHAN,RAJANPUR,ROJHAN TEHSIL,TOTAL,FEMALE,97346,97019,7,111,39,93,77
301,DERA GHAZI KHAN,RAJANPUR,ROJHAN TEHSIL,RURAL,BOTH SEXES,197433,196751,12,238,72,200,160
302,DERA GHAZI KHAN,RAJANPUR,ROJHAN TEHSIL,RURAL,MALE,105341,104966,5,128,36,113,93
303,DERA GHAZI KHAN,RAJANPUR,ROJHAN TEHSIL,RURAL,FEMALE,92092,91785,7,110,36,87,67
304,DERA GHAZI KHAN,RAJANPUR,ROJHAN TEHSIL,URBAN,BOTH SEXES,11130,11084,-,1,5,17,23
305,DERA GHAZI KHAN,RAJANPUR,ROJHAN TEHSIL,URBAN,MALE,5876,5850,-,-,2,11,13
306,DERA GHAZI KHAN,RAJANPUR,ROJHAN TEHSIL,URBAN,FEMALE,5254,5234,-,1,3,6,10
307,FAISALABAD,FAISALABAD,FAISALABAD DISTRICT,TOTAL,BOTH SEXES,5429547,5188512,224895,462,14358,441,879
308,FAISALABAD,FAISALABAD,FAISALABAD DISTRICT,TOTAL,MALE,2826908,2700961,117666,202,7467,208,404
309,FAISALABAD,FAISALABAD,FAISALABAD DISTRICT,TOTAL,FEMALE,2602639,2487551,107229,260,6891,233,475
310,FAISALABAD,FAISALABAD,FAISALABAD DISTRICT,RURAL,BOTH SEXES,3111114,2989767,111660,303,8731,197,456
311,FAISALABAD,FAISALABAD,FAISALABAD DISTRICT,RURAL,MALE,1613428,1549872,58547,127,4598,89,195
312,FAISALABAD,FAISALABAD,FAISALABAD DISTRICT,RURAL,FEMALE,1497686,1439895,53113,176,4133,108,261
313,FAISALABAD,FAISALABAD,FAISALABAD DISTRICT,URBAN,BOTH SEXES,2318433,2198745,113235,159,5627,244,423
314,FAISALABAD,FAISALABAD,FAISALABAD DISTRICT,URBAN,MALE,1213480,1151089,59119,75,2869,119,209
315,FAISALABAD,FAISALABAD,FAISALABAD DISTRICT,URBAN,FEMALE,1104953,1047656,54116,84,2758,125,214
316,FAISALABAD,FAISALABAD,CHAK JHUMRA TEHSIL,TOTAL,BOTH SEXES,253806,239959,13538,10,268,19,12
317,FAISALABAD,FAISALABAD,CHAK JHUMRA TEHSIL,TOTAL,MALE,130334,123114,7065,4,138,7,6
318,FAISALABAD,FAISALABAD,CHAK JHUMRA TEHSIL,TOTAL,FEMALE,123472,116845,6473,6,130,12,6
319,FAISALABAD,FAISALABAD,CHAK JHUMRA TEHSIL,RURAL,BOTH SEXES,221695,209369,12060,10,243,6,7
320,FAISALABAD,FAISALABAD,CHAK JHUMRA TEHSIL,RURAL,MALE,113787,107333,6315,4,127,3,5
321,FAISALABAD,FAISALABAD,CHAK JHUMRA TEHSIL,RURAL,FEMALE,107908,102036,5745,6,116,3,2
322,FAISALABAD,FAISALABAD,CHAK JHUMRA TEHSIL,URBAN,BOTH SEXES,32111,30590,1478,-,25,13,5
323,FAISALABAD,FAISALABAD,CHAK JHUMRA TEHSIL,URBAN,MALE,16547,15781,750,-,11,4,1
324,FAISALABAD,FAISALABAD,CHAK JHUMRA TEHSIL,URBAN,FEMALE,15564,14809,728,-,14,9,4
325,FAISALABAD,FAISALABAD,FAISALABAD CITY TEHSIL,TOTAL,BOTH SEXES,2140346,2026032,108161,148,5377,217,411
326,FAISALABAD,FAISALABAD,FAISALABAD CITY TEHSIL,TOTAL,MALE,1122115,1062567,56403,72,2764,108,201
327,FAISALABAD,FAISALABAD,FAISALABAD CITY TEHSIL,TOTAL,FEMALE,1018231,963465,51758,76,2613,109,210
328,FAISALABAD,FAISALABAD,FAISALABAD CITYTEHSIL,RURAL,BOTH SEXES,131485,125643,5332,6,491,3,10
329,FAISALABAD,FAISALABAD,FAISALABAD CITYTEHSIL,RURAL,MALE,69030,66021,2742,3,260,-,4
330,FAISALABAD,FAISALABAD,FAISALABAD CITYTEHSIL,RURAL,FEMALE,62455,59622,2590,3,231,3,6
331,FAISALABAD,FAISALABAD,FAISALABAD CITY TEHSIL,URBAN,BOTH SEXES,2008861,1900389,102829,142,4886,214,401
332,FAISALABAD,FAISALABAD,FAISALABAD CITY TEHSIL,URBAN,MALE,1053085,996546,53661,69,2504,108,197
333,FAISALABAD,FAISALABAD,FAISALABAD CITY TEHSIL,URBAN,FEMALE,955776,903843,49168,73,2382,106,204
334,FAISALABAD,FAISALABAD,FAISALABAD SADAR TEHSIL,TOTAL,BOTH SEXES,924110,875243,46130,37,2561,61,78
335,FAISALABAD,FAISALABAD,FAISALABAD SADAR TEHSIL,TOTAL,MALE,478883,453238,24246,16,1321,29,33
336,FAISALABAD,FAISALABAD,FAISALABAD SADAR TEHSIL,TOTAL,FEMALE,445227,422005,21884,21,1240,32,45
337,FAISALABAD,FAISALABAD,FAISALABAD SADAR TEHSIL,RURAL,BOTH SEXES,900984,853251,45001,37,2557,60,78
338,FAISALABAD,FAISALABAD,FAISALABAD SADAR TEHSIL,RURAL,MALE,467040,441979,23663,16,1320,29,33
339,FAISALABAD,FAISALABAD,FAISALABAD SADAR TEHSIL,RURAL,FEMALE,433944,411272,21338,21,1237,31,45
340,FAISALABAD,FAISALABAD,FAISALABAD SADAR TEHSIL,URBAN,BOTH SEXES,23126,21992,1129,-,4,1,-
341,FAISALABAD,FAISALABAD,FAISALABAD SADAR TEHSIL,URBAN,MALE,11843,11259,583,-,1,-,-
342,FAISALABAD,FAISALABAD,FAISALABAD SADAR TEHSIL,URBAN,FEMALE,11283,10733,546,-,3,1,-
343,FAISALABAD,FAISALABAD,JARANWALA TEHSIL,TOTAL,BOTH SEXES,1054698,1023596,25278,195,5413,70,146
344,FAISALABAD,FAISALABAD,JARANWALA TEHSIL,TOTAL,MALE,548349,532055,13309,80,2827,25,53
345,FAISALABAD,FAISALABAD,JARANWALA TEHSIL,TOTAL,FEMALE,506349,491541,11969,115,2586,45,93
346,FAISALABAD,FAISALABAD,JARANWALA TEHSIL,RURAL,BOTH SEXES,917701,892219,20358,182,4754,57,131
347,FAISALABAD,FAISALABAD,JARANWALA TEHSIL,RURAL,MALE,476966,463638,10690,74,2499,21,44
348,FAISALABAD,FAISALABAD,JARANWALA TEHSIL,RURAL,FEMALE,440735,428581,9668,108,2255,36,87
349,FAISALABAD,FAISALABAD,JARANWALA TEHSIL,URBAN,BOTH SEXES,136997,131377,4920,13,659,13,15
350,FAISALABAD,FAISALABAD,JARANWALA TEHSIL,URBAN,MALE,71383,68417,2619,6,328,4,9
351,FAISALABAD,FAISALABAD,JARANWALA TEHSIL,URBAN,FEMALE,65614,62960,2301,7,331,9,6
352,FAISALABAD,FAISALABAD,SAMMUNDRI TEHSIL,TOTAL,BOTH SEXES,515785,488098,26962,46,533,56,90
353,FAISALABAD,FAISALABAD,SAMMUNDRI TEHSIL,TOTAL,MALE,265322,250807,14133,22,294,29,37
354,FAISALABAD,FAISALABAD,SAMMUNDRI TEHSIL,TOTAL,FEMALE,250463,237291,12829,24,239,27,53
355,FAISALABAD,FAISALABAD,SAMMUNDRI TEHSIL,RURAL,BOTH SEXES,460877,435065,25134,45,488,55,90
356,FAISALABAD,FAISALABAD,SAMMUNDRI TEHSIL,RURAL,MALE,236838,223309,13170,22,272,28,37
357,FAISALABAD,FAISALABAD,SAMMUNDRI TEHSIL,RURAL,FEMALE,224039,211756,11964,23,216,27,53
358,FAISALABAD,FAISALABAD,SAMMUNDRI TEHSIL,URBAN,BOTH SEXES,54908,53033,1828,1,45,1,-
359,FAISALABAD,FAISALABAD,SAMMUNDRI TEHSIL,URBAN,MALE,28484,27498,963,-,22,1,-
360,FAISALABAD,FAISALABAD,SAMMUNDRI TEHSIL,URBAN,FEMALE,26424,25535,865,1,23,-,-
361,FAISALABAD,FAISALABAD,TANDLIAN WALA TEHSIL,TOTAL,BOTH SEXES,540802,535584,4826,26,206,18,142
362,FAISALABAD,FAISALABAD,TANDLIAN WALA TEHSIL,TOTAL,MALE,281905,279180,2510,8,123,10,74
363,FAISALABAD,FAISALABAD,TANDLIAN WALA TEHSIL,TOTAL,FEMALE,258897,256404,2316,18,83,8,68
364,FAISALABAD,FAISALABAD,TANDLIAN WALA TEHSIL,RURAL,BOTH SEXES,478372,474220,3775,23,198,16,140
365,FAISALABAD,FAISALABAD,TANDLIAN WALA TEHSIL,RURAL,MALE,249767,247592,1967,8,120,8,72
366,FAISALABAD,FAISALABAD,TANDLIAN WALA TEHSIL,RURAL,FEMALE,228605,226628,1808,15,78,8,68
367,FAISALABAD,FAISALABAD,TANDLIAN WALA TEHSIL,URBAN,BOTH SEXES,62430,61364,1051,3,8,2,2
368,FAISALABAD,FAISALABAD,TANDLIAN WALA TEHSIL,URBAN,MALE,32138,31588,543,-,3,2,2
369,FAISALABAD,FAISALABAD,TANDLIAN WALA TEHSIL,URBAN,FEMALE,30292,29776,508,3,5,-,-
370,FAISALABAD,JHANG,JHANG DISTRICT,TOTAL,BOTH SEXES,2834545,2776950,14723,82,42593,33,164
371,FAISALABAD,JHANG,JHANG DISTRICT,TOTAL,MALE,1474099,1444854,7652,38,21452,13,90
372,FAISALABAD,JHANG,JHANG DISTRICT,TOTAL,FEMALE,1360446,1332096,7071,44,21141,20,74
373,FAISALABAD,JHANG,JHANG DISTRICT,RURAL,BOTH SEXES,2171555,2154503,9544,70,7342,20,76
374,FAISALABAD,JHANG,JHANG DISTRICT,RURAL,MALE,1128866,1119992,4979,32,3817,8,38
375,FAISALABAD,JHANG,JHANG DISTRICT,RURAL,FEMALE,1042689,1034511,4565,38,3525,12,38
376,FAISALABAD,JHANG,JHANG DISTRICT,URBAN,BOTH SEXES,662990,622447,5179,12,35251,13,88
377,FAISALABAD,JHANG,JHANG DISTRICT,URBAN,MALE,345233,324862,2673,6,17635,5,52
378,FAISALABAD,JHANG,JHANG DISTRICT,URBAN,FEMALE,317757,297585,2506,6,17616,8,36
379,FAISALABAD,JHANG,CHINIOT TEHSIL,TOTAL,BOTH SEXES,965124,920461,4510,20,40010,10,113
380,FAISALABAD,JHANG,CHINIOT TEHSIL,TOTAL,MALE,503236,480685,2354,11,20122,2,62
381,FAISALABAD,JHANG,CHINIOT TEHSIL,TOTAL,FEMALE,461888,439776,2156,9,19888,8,51
382,FAISALABAD,JHANG,CHINIOT TEHSIL,RURAL,BOTH SEXES,705941,697307,2652,13,5932,3,34
383,FAISALABAD,JHANG,CHINIOT TEHSIL,RURAL,MALE,368255,363773,1388,7,3069,1,17
384,FAISALABAD,JHANG,CHINIOT TEHSIL,RURAL,FEMALE,337686,333534,1264,6,2863,2,17
385,FAISALABAD,JHANG,CHINIOT TEHSIL,URBAN,BOTH SEXES,259183,223154,1858,7,34078,7,79
386,FAISALABAD,JHANG,CHINIOT TEHSIL,URBAN,MALE,134981,116912,966,4,17053,1,45
387,FAISALABAD,JHANG,CHINIOT TEHSIL,URBAN,FEMALE,124202,106242,892,3,17025,6,34
388,FAISALABAD,JHANG,JHANG TEHSIL,TOTAL,BOTH SEXES,1199166,1192284,5129,17,1706,7,23
389,FAISALABAD,JHANG,JHANG TEHSIL,TOTAL,MALE,623343,619762,2680,7,877,3,14
390,FAISALABAD,JHANG,JHANG TEHSIL,TOTAL,FEMALE,575823,572522,2449,10,829,4,9
391,FAISALABAD,JHANG,JHANG TEHSIL,RURAL,BOTH SEXES,894493,890558,3123,13,774,3,22
392,FAISALABAD,JHANG,JHANG TEHSIL,RURAL,MALE,464416,462347,1627,6,422,1,13
393,FAISALABAD,JHANG,JHANG TEHSIL,RURAL,FEMALE,430077,428211,1496,7,352,2,9
394,FAISALABAD,JHANG,JHANG TEHSIL,URBAN,BOTH SEXES,304673,301726,2006,4,932,4,1
395,FAISALABAD,JHANG,JHANG TEHSIL,URBAN,MALE,158927,157415,1053,1,455,2,1
396,FAISALABAD,JHANG,JHANG TEHSIL,URBAN,FEMALE,145746,144311,953,3,477,2,-
397,FAISALABAD,JHANG,SHORKOT TEHSIL,TOTAL,BOTH SEXES,670255,664205,5084,45,877,16,28
398,FAISALABAD,JHANG,SHORKOT TEHSIL,TOTAL,MALE,347520,344407,2618,20,453,8,14
399,FAISALABAD,JHANG,SHORKOT TEHSIL,TOTAL,FEMALE,322735,319798,2466,25,424,8,14
400,FAISALABAD,JHANG,SHORKOT TEHSIL,RURAL,BOTH SEXES,571121,566638,3769,44,636,14,20
401,FAISALABAD,JHANG,SHORKOT TEHSIL,RURAL,MALE,296195,293872,1964,19,326,6,8
402,FAISALABAD,JHANG,SHORKOT TEHSIL,RURAL,FEMALE,274926,272766,1805,25,310,8,12
403,FAISALABAD,JHANG,SHORKOT TEHSIL,URBAN,BOTH SEXES,99134,97567,1315,1,241,2,8
404,FAISALABAD,JHANG,SHORKOT TEHSIL,URBAN,MALE,51325,50535,654,1,127,2,6
405,FAISALABAD,JHANG,SHORKOT TEHSIL,URBAN,FEMALE,47809,47032,661,-,114,-,2
406,FAISALABAD,TOBA TEK SINGH,TOBA TEK SINGH DISTRICT,TOTAL,BOTH SEXES,1621593,1557064,60789,77,3430,121,112
407,FAISALABAD,TOBA TEK SINGH,TOBA TEK SINGH DISTRICT,TOTAL,MALE,831602,798063,31715,33,1677,65,49
408,FAISALABAD,TOBA TEK SINGH,TOBA TEK SINGH DISTRICT,TOTAL,FEMALE,789991,759001,29074,44,1753,56,63
409,FAISALABAD,TOBA TEK SINGH,TOBA TEK SINGH DISTRICT,RURAL,BOTH SEXES,1316182,1262721,50303,68,2893,110,87
